Apto,Estatus,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,TOTAL,a,b,c,"Cant.
Cuotas"," Valor
Cuotas"
1409,4.Plan de pagos,,,,,," 6,000.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,194.00 "," 3,184.00 ",,,,,,,,,,,,,,,,,,,,,," 85,840.00 ", -   ," 85,840.00 ",0,26," 3,301.54 "
1410,4.Plan de pagos,,,,,,,,,,,," 8,000.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,246.00 ",,,,,,,,,,,,,,,,,,,,,," 88,800.00 ", -   ," 88,800.00 ",0,20," 4,440.00 "
1411,4.Plan de pagos,,,," 6,000.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 "," 4,900.00 ",,,,,,,,,,,,,,,,,,,,,," 138,300.00 ", -   ," 138,300.00 ",0,28," 4,939.29 "
1412,4.Plan de pagos,," 6,000.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 1,750.00 "," 2,450.00 ",,,,,,,,,,,,,,,,," 66,200.00 ", -   ," 66,200.00 ",0,35," 1,891.43 "
1501,2. Reserva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 10,000.00 "," 21,200.00 "," 21,200.00 "," 21,200.00 "," 21,200.00 "," 21,200.00 "," 21,200.00 "," 20,890.00 ",,,,,,,,,,,,," 158,090.00 "," 34,890.00 "," 158,090.00 ",0,8," 19,761.25 "
1502,4.Plan de pagos,,,,,,,,,,,,,,,,,,,," 10,000.00 "," 8,690.00 "," 8,690.00 "," 8,690.00 "," 8,690.00 "," 8,690.00 "," 8,690.00 "," 8,690.00 "," 8,690.00 "," 8,690.00 "," 8,690.00 "," 8,690.00 "," 8,690.00 "," 8,690.00 "," 8,690.00 ",,,,,,,,,,,,,,,,,,," 131,660.00 ", -   ," 131,660.00 ",0,15," 8,777.33 "
1503,4.Plan de pagos," 6,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 33,396.72 "," 12,830.82 ",,,,,,,,,,,,,,,,," 85,227.54 ", -   ," 85,227.54 ",0,36," 2,367.43 "
1504,4.Plan de pagos,,," 6,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 1,000.00 "," 55,800.00 ",,,,,,,,,,,,,,,,,,,,,," 88,800.00 ", -   ," 88,800.00 ",0,29," 3,062.07 "
1505,4.Plan de pagos,,,,,,,,,,,,,,,,," 10,000.00 "," 6,929.00 "," 6,929.00 "," 6,929.00 "," 6,929.00 "," 6,929.00 "," 6,929.00 "," 6,929.00 "," 6,929.00 "," 6,929.00 "," 6,929.00 "," 6,929.00 "," 6,929.00 "," 6,929.00 "," 6,929.00 "," 6,929.00 "," 6,929.00 "," 6,936.00 ",,,,,,,,,,,,,,,,,,," 127,800.00 ", -   ," 127,800.00 ",0,18," 7,100.00 "
1506,1.Disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-99,632.63 ", -   ,0,0, -   
